keyword,document
丰阳牛肉干的文化地位,丰阳牛肉干被认定为广东省和清远市的非物质文化遗产美食。
丰阳牛肉干的年产值,丰阳牛肉干年产值接近一个亿人民币。
丰阳牛肉干的原料,丰阳牛肉干原料为嫩黄牛，现杀现烧现卖，确保肉质鲜嫩。
丰阳牛肉干的工艺特色,丰阳牛肉干工艺特色在于使用椎木木材的炭火烧熏至6成熟。
丰阳牛肉干味道独特的原因,丰阳牛肉干味道独特，依赖于丰阳独有的气候环境和制作工艺。
丰阳牛肉干的包装,丰阳牛肉干包装采用独立保鲜袋，保证产品质量。
丰阳牛肉干的食用方式,丰阳牛肉干食用方式多样，可蒸、炒后食用，味道更佳。推荐以蒸煮方式食用。
丰阳牛肉干的食品添加剂情况和制作工艺,丰阳牛肉干无添加，全部采用纯手工晒制工艺，口感丰富，味道香浓。
丰阳牛肉干的配料,丰阳牛肉干配送灵魂配料有水碌辣椒、豆豉。
丰阳牛肉干的售价和优惠,丰阳牛肉干售价为一包49元（248g），三包优惠价为129元（每包248g）。
丰阳牛肉干的预制菜品种,丰阳牛肉干预制菜包括鼓汁葱头蒸牛肉干、酸笋丝辣椒蒸牛肉干、白辣椒干蒸牛肉干。
丰阳牛肉干预制菜的价格和优惠,丰阳牛肉干预制菜售价为一包43元（245g），三包优惠价为119元（每包245g）。
丰阳牛肉干的发货地和物流方式,丰阳牛肉干发货地为连州市，通过邮政或京东快递发货，发货时效为48小时。
丰阳牛肉干的发货范围和限制,丰阳牛肉干除新疆、西藏、港澳台和疫情地区不发货外，其他地区正常发货。
富硒农家丝苗香米的产地和种植环境,富硒农家丝苗香米是晚造米，种植于凤山脚下，享有天然雾气和山泉水灌溉。
富硒农家丝苗香米的加工特点,富硒农家丝苗香米加工过程不抛光也不打蜡，保留米粒的纤细修长和米香。
富硒农家丝苗香米的口感和烹饪适用方式,富硒农家丝苗香米口感细腻，适合多种烹饪方式，如煮粥、焖饭等。
富硒农家丝苗香米的荣誉与科学基础,富硒农家丝苗香米于2022年被评为广东省首批天然富硒土地，确立品牌科学基础。
富硒农家丝苗香米的种植规模和土壤硒含量,富硒农家丝苗香米的种植面积达1800亩，土壤中硒含量丰富，确保大米的营养价值。
富硒农家丝苗香米的包装规格和价格,富硒农家丝苗香米提供5斤真空包装礼盒装和10斤真空包装选项。
富硒农家丝苗香米的成分和种植工艺,富硒农家丝苗香米成分为纯大米，采用人工除草除虫，无抛光工艺。
富硒农家丝苗香米的包装方式,富硒农家丝苗香米包装采用真空包装方式，确保新鲜。
富硒农家丝苗香米的食用方式,富硒农家丝苗香米食用方式灵活，可蒸、煮或炒食。
富硒农家丝苗香米的烹饪建议,富硒农家丝苗香米煮饭时淘米次数不宜超过三次，以保持营养。煮饭水米比例建议为1：1至1：2，煮熟后静置10分钟再食用。
富硒农家丝苗香米的售价,富硒农家丝苗香米5斤装售价57元，10斤装售价88元
富硒农家丝苗香米的发货地和物流方式,富硒农家丝苗香米发货地为连州市，通过邮政或京东快递发货，发货时效为48小时。
富硒农家丝苗香米的发货范围和限制,富硒农家丝苗香米除新疆、西藏、港澳台和疫情地区不发货外，其他地区正常发货。
大富头马蹄的荣誉称号,大富头马蹄产业获评“岭南生态气候优品”称号。
大富头马蹄的特点和美誉,大富头马蹄具有个头大、皮红饱满、肉白鲜嫩、味美清甜、爽脆无渣的特点，誉为“地下雪梨”。
大富头马蹄的食用方式,大富头马蹄既可以做水果生吃，又可做蔬菜食用，适合炒菜和煲汤。
大富头马蹄的产业发展历程和支持机构,大富头马蹄自2021年起，由中山大学派驻帮扶工作组推进产业发展，成立了马蹄种植合作社。
大富头马蹄的种植规模和参与人数,大富头马蹄在马蹄种植方面动员了超过100户村民，种植面积超过500亩。
大富头马蹄的品牌申请和电商渠道建设,大富头马蹄统一采用种植技术和良种，申请了两个品牌，并建立了电商渠道。
大富头马蹄在“共富坊”建立的基地和推动共同富裕的举措,大富头马蹄在“共富坊”建立了生产加工和仓储基地，推动了村庄的共同富裕。
大富头马蹄的产业融合和产品开发,大富头马蹄通过实现一二三产业融合，开发了多种产品。
大富头马蹄的高标准生产,大富头马蹄的成分、工艺、包装和食用方式均符合高标准。
大富头马蹄的传统农耕种植方式,大富头马蹄继续保持其传统农耕种植方式，确保产品质量。
大富头马蹄的包装规格和售价,大富头马蹄的售价设置为20个礼盒38元，5斤49元，10斤88元。
大富头马蹄炖鸡汤（预制菜）的售价,大富头马蹄炖鸡汤（预制菜）228g的售价为一罐28.8元、两罐52.8元、三罐72.8元。
大富头马蹄的发货地和物流方式,大富头马蹄发货地为连州市，通过邮政或京东快递发货，发货时效为48小时。
大富头马蹄的发货范围和限制,大富头马蹄除新疆、西藏、港澳台和疫情地区不发货外，其他地区正常发货。
南岭野生红茶的生产背景和帮扶项目,南岭野生红茶由中山大学帮扶规划的农文旅项目丰阳茶博园生产。
南岭野生红茶的荣誉称号,荣获多项荣誉，包括《2018广东省春季名优茶大赛》金奖和《2020年春季茶王赛》茶王。
南岭野生红茶的生产环境,南岭野生红茶自然生长于连州南岭山脉海拔800-1700米的崇山峻岭中，由当地山民采摘。
南岭野生红茶的加工过程生产标准,南岭野生红茶的加工过程符合国家生产标准，条索乌黑紧致，油润。
南岭野生红茶的汤色、气味和口感,南岭野生红茶的汤色为橙黄色，气味清香，带有丰富的花果香味和甘甜爽滑的口感。
南岭野生红茶的主要成分和采摘工艺,南岭野生红茶的主要成分为野生红茶，采用手工采摘工艺。
南岭野生红茶的包装形式,南岭野生红茶的包装形式包括罐装和盒装。
南岭野生红茶的食用方式,南岭野生红茶的食用方式推荐蒸、煮、炒。
南岭野生红茶的包装规格和售价,南岭野生红茶的售价为100克方罐装280元、150克圆罐装300元、60克十二景99元/条、中大联名125克一罐，2罐装468元。
南岭野生红茶的发货地和物流方式,南岭野生红茶发货地为连州市，通过邮政或京东快递发货，发货时效为48小时。
南岭野生红茶的发货范围和限制,南岭野生红茶除新疆、西藏、港澳台和疫情地区不发货外，其他地区正常发货。
柯木湾蔬菜面加工基地的地址,柯木湾蔬菜面的加工基地位于连州市丰阳镇柯木湾村。
柯木湾蔬菜面加工基地的自然环境,柯木湾蔬菜面加工基地环境优美，依山傍水，空气清新。
柯木湾蔬菜面的原材料,柯木湾蔬菜面的原材料包括当地种植的紫薯、淮山、连州菜心和胡萝卜。
柯木湾蔬菜面的原料和食品添加剂情况,柯木湾蔬菜面使用优质小麦粉、食用盐和山泉水制作，不添加任何添加剂。
柯木湾蔬菜面的生产过程,柯木湾蔬菜面的生产过程在无尘车间完成，保证产品健康安全。
柯木湾蔬菜面的包装规格和售价,柯木湾蔬菜面的售价为300g袋装9.9元，500g袋装26元，1kg箱装39元，1.5kg箱装56元。
柯木湾蔬菜面的烹饪建议,柯木湾蔬菜面的烹饪建议是煮3分钟，配以喜欢的调料或酱料食用。
柯木湾蔬菜面的政策背景和社会价值,柯木湾蔬菜面的生产支持国家“乡村振兴”政策，为当地村民提供就业机会。
柯木湾蔬菜面的发货地和物流方式,柯木湾蔬菜面发货地为连州市，通过邮政或京东快递发货，发货时效为48小时。
柯木湾蔬菜面的发货范围和限制,柯木湾蔬菜面除新疆、西藏、港澳台和疫情地区不发货外，其他地区正常发货。
湟福沙坊粉的成分,湟福沙坊粉的成分是大米
湟福沙坊粉的工艺,湟福沙坊粉的工艺是青石磨和磨米浆
湟福沙坊粉的包装,湟福沙坊粉的包装采用礼盒包装
湟福沙坊粉的食用方式和建议,湟福沙坊粉的食用方式是蒸，煮，炒。粉加适量盐水浸泡20-30分钟，等粉变软了再进行加工口味更佳
湟福沙坊粉的文化价值,湟福沙坊粉是我们连州地方传统名产和广东省级非物质文化遗产，被列入全国名特优新农产品名录
湟福沙坊粉的特质,湟福沙坊粉具有颜色洁白、粉质细腻、久煮不糊、入口爽滑香糯的特质
湟福沙坊粉的制作工艺,湟福沙坊粉用大龙山泉泉水浸泡大米，青石磨，磨米浆两遍（第一遍去米皮，第二遍去粗胚）。湟福沙坊粉蒸好的粉皮是在太阳下自然晾晒干的，没有用烘干机，是纯手工制作的。
湟福沙坊粉的价格,湟福沙坊粉的价格为1斤19.9元，2斤32.8元和5斤72.8元 
湟福沙坊粉的物流方式,湟福沙坊粉发邮政或京东快递
湟福沙坊粉的发货地,湟福沙坊粉发货地是连州市
湟福沙坊粉的发货时效,湟福沙坊粉发货时效是48小时
湟福沙坊粉的发货范围限制,湟福沙坊粉除新疆、西藏、港澳台以及疫情地区不发，其他地区都发货
连州菜心的新鲜成分,连州菜心的成分是新鲜采摘的
连州菜心的包装方式,连州菜心的包装采用菜心礼品盒打包
连州菜心的食用方式,连州菜心的食用方式有盐水，清炒，白灼，泡汤       
连州菜心的地位,连州菜心是国家农产品地理标志保护产品
连州菜心的特点,连州菜心跟一般的菜心相比，菜叶厚度适中、菜味浓郁、清甜可口
连州菜心品质优良的原因,连州菜心优于一般菜心的原因是山区的低温有利于植物体内的物质转化和糖分增加的缘故，而连州高海拔地方阳光充足，昼夜温差大的原因，所以菜心更为清甜
连州菜心的包装规格,连州菜心有两种规格：5斤48，10斤68
连州菜心的包邮情况和物流方式,连州菜心包邮，发邮政或京东快递
连州菜心的发货地,连州菜心发货地是连州市
连州菜心的发货时效,连州菜心发货时效是48小时
连州菜心的发货范围和限制,连州菜心除新疆、西藏、港澳台以及疫情地区不发，其他地区都发货
东方美人红茶的成分,东方美人红茶的成分是金萱香叶      
东方美人红茶的工艺,东方美人红茶的工艺是培干   
东方美人红茶的包装方式,东方美人红茶采用罐装包装   
东方美人红茶的食用方式和注意事项,东方美人红茶的食用方式是泡，泡东方美人红茶的注意事项：不要用100度的水泡，茶水浸泡比例为1：20，浸泡时间不宜过长 
东方美人红茶茶园的所在地,东方美人红茶的茶园位于清远·连州三水瑶族乡
东方美人红茶的引种背景和品质特点,东方美人红茶引种于台湾东方美人茶品种金萱，精心引品只为培育出健康纯正之茗
东方美人红茶的种植环境和价格信息,东方美人红茶种植于北纬24.8度/海拔700米的高山峡谷北纬24.8°，南岭山脉地区每年冬天下雪，虫害少，自然生态平衡。高山出好茶，海拔高地区常年云雾缭绕，昼夜温差大，甜度和鲜爽度更高。 东方美人红茶的价格是每罐300元（净重125g）
东方美人红茶的发货方式,东方美人红茶发邮政或京东快递
东方美人红茶的发货地,东方美人红茶的发货地是连州市
东方美人红茶发货时效,东方美人红茶发货时效是48小时
东方美人红茶的发货范围限制,东方美人红茶除新疆、西藏、港澳台以及疫情地区不发，其他地区都发货
南岭瑶山红茶的成分,南岭瑶山红茶的成分是红茶茶叶       
南岭瑶山红茶的工艺,南岭瑶山红茶工艺是培干(烘干)    
南岭瑶山红茶的包装方式,南岭瑶山红茶采用罐装包装      
南岭瑶山红茶的食用方式和注意事项,南岭瑶山红茶的食用方式是泡，泡南岭瑶山红茶的注意事项是不要用100度的水泡，1：20的茶水浸泡，浸泡时间不宜过长 
南岭瑶山红茶的引种和种植环境,南岭瑶山红茶引进台湾高山茶品种，种植在风景秀丽并无任何污染的三水瑶族乡高山峡谷之中，土壤肥沃，纯天然生长，绿色无污染
南岭瑶山红茶的无农药施用、花生麸肥料使用、采摘标准,南岭瑶山红茶不施农药，肥料使用花生麸；选取一芽两叶釆摘；生产上完全达到国家标准，卫生，安全（免洗）
南岭瑶山红茶的茶汤颜色、风味,南岭瑶山红茶茶汤红艳，滋味甘醇浓厚，喉韵甚佳，具有特殊的品种香，是不可多得的佳品 
南岭瑶山红茶的价格,南岭瑶山红茶价格是每罐168元（净重100g）
南岭瑶山红茶的发货方式,南岭瑶山红茶发邮政或京东快递
南岭瑶山红茶的发货地,南岭瑶山红茶发货地是连州市
南岭瑶山红茶的发货时效,南岭瑶山红茶发货时效是48小时
南岭瑶山红茶的发货范围限制,南岭瑶山红茶除新疆、西藏、港澳台以及疫情地区不发，其他地区都发货
连州东陂腊肠的成分,连州东陂腊肠成分是鲜猪腩肉、白砂糖、食用盐、白酒（冬菇肠+冬菇）    
连州东陂腊肠的生产方式,连州东陂腊肠是自然条件风干的（经过8-10天的自然晾晒）的，不经过烘烤或烟熏，不添加任何防护剂、亚硝酸盐，是低糖低盐的健康食品（总盐量不大于15%食盐含量不大于10%）生产要求也是按照国家标准执行的
连州东陂腊肠的包装方式,连州东陂腊肠采用真空包装       
连州东陂腊肠的食用方式,连州东陂腊肠的食用方式是清蒸，爆炒      
连州东陂腊肠的食用方法和注意事项,连州东陂腊肠食用前要煮熟，不用另外加盐 
连州东陂腊肠的产地和地位,连州东陂腊肠产于广东省连州市东陂镇，是国家地理标志保护产品
